Index,Bankrupt?
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,0
600,1
